latency_edge,pool_size,gamma_eff,alpha_star_empirical,alpha_star_analytical
0.0,0.05,0.115,0.38,0.3194945848375451
0.0,0.1,0.13,0.38,0.3175182481751825
0.0,0.2,0.16,0.37,0.3134328358208955
0.0,0.3,0.19,0.37,0.30916030534351147
0.0,0.4,0.22,0.36,0.3046875
0.25,0.05,0.265,0.36,0.2975708502024292
0.25,0.1,0.28,0.36,0.29508196721311475
0.25,0.2,0.31,0.35,0.2899159663865546
0.25,0.3,0.33999999999999997,0.34,0.2844827586206896
0.25,0.4,0.37,0.34,0.2787610619469027
0.5,0.05,0.41500000000000004,0.33,0.2695852534562212
0.5,0.1,0.43000000000000005,0.32,0.2663551401869159
0.5,0.2,0.46,0.32,0.25961538461538464
0.5,0.3,0.49,0.31,0.2524752475247525
0.5,0.4,0.52,0.3,0.24489795918367346
0.75,0.05,0.565,0.29,0.232620320855615
0.75,0.1,0.58,0.28,0.2282608695652174
0.75,0.2,0.6099999999999999,0.27,0.21910112359550565
0.75,0.3,0.6399999999999999,0.25,0.2093023255813954
0.75,0.4,0.6699999999999999,0.24,0.1987951807228916
1.0,0.05,0.715,0.22,0.18152866242038218
1.0,0.1,0.73,0.21,0.17532467532467533
1.0,0.2,0.76,0.2,0.16216216216216217
1.0,0.3,0.7899999999999999,0.18,0.147887323943662
1.0,0.4,0.82,0.16,0.13235294117647062
